x,y
0.0205515,0.962204
0.0226123,0.95812
0.0247737,0.953814
0.0270359,0.949284
0.029399,0.944528
0.0318629,0.939543
0.0344276,0.934327
0.0370932,0.928879
0.0398597,0.923197
0.042727,0.917281
0.0456952,0.911129
0.0487642,0.904742
0.051934,0.898119
0.0552044,0.891261
0.0585753,0.884169
0.0620466,0.876844
0.0656183,0.86929
0.0692899,0.861508
0.0730615,0.853502
0.0769326,0.845275
0.080903,0.836832
0.0849724,0.828177
0.0891404,0.819314
0.0934066,0.81025
0.0977706,0.80099
0.102232,0.791539
0.10679,0.781904
0.111444,0.772092
0.116193,0.762107
0.121037,0.751957
0.125975,0.741648
0.131006,0.731187
0.13613,0.72058
0.141345,0.709833
0.14665,0.698954
0.152044,0.687947
0.157526,0.676819
0.163095,0.665577
0.16875,0.654227
0.174489,0.642774
0.180312,0.631225
0.186216,0.619585
0.1922,0.60786
0.198263,0.596055
0.204404,0.584178
0.21062,0.572232
0.21691,0.560224
0.223273,0.548159
0.229707,0.536043
0.23621,0.52388
0.242781,0.511677
0.249417,0.499439
0.256117,0.48717
0.262879,0.474876
0.269702,0.462563
0.276583,0.450234
0.28352,0.437896
0.290512,0.425552
0.297556,0.413208
0.30465,0.400869
0.311792,0.388538
0.31898,0.37622
0.326211,0.36392
0.333483,0.351643
0.340793,0.339392
0.348138,0.327171
0.35554,0.314932
0.362963,0.30271
0.37034,0.290603
0.377707,0.278576
0.385096,0.266626
0.392525,0.254767
0.400002,0.24301
0.407532,0.231363
0.415117,0.219831
0.422756,0.208418
0.430448,0.197128
0.438191,0.185962
0.445982,0.174922
0.453817,0.164012
0.461694,0.153231
0.469608,0.142582
0.477556,0.132067
0.485533,0.121688
0.493534,0.111446
0.501555,0.101344
0.509591,0.0913848
0.517635,0.0815695
0.525683,0.0719011
0.533728,0.0623822
0.541765,0.0530155
0.549785,0.0438039
0.557783,0.0347505
0.565751,0.0258584
0.573681,0.0171311
0.581552,0.00858669
0.588787,0.000813256
0.589546,0.0
0.00160546,1.0
0.00205955,0.99916
0.00261449,0.99813
0.00327027,0.99691
0.0040269,0.995499
0.00488436,0.993897
0.00584266,0.992101
0.00690181,0.99011
0.00806183,0.987922
0.00932273,0.985536
0.0106846,0.982948
0.0121473,0.980158
0.0137111,0.977162
0.0153759,0.973959
0.0171418,0.970546
0.0190089,0.96692
0.0209772,0.963079
0.0230468,0.95902
0.0252178,0.954741
0.0274901,0.95024
0.029864,0.945515
0.0323394,0.940562
0.0349164,0.935381
0.037595,0.92997
0.0403754,0.924328
0.0432574,0.918452
0.0462411,0.912343
0.0493266,0.906001
0.0525136,0.899425
0.0558023,0.892616
0.0591925,0.885575
0.0626841,0.878304
0.0662769,0.870805
0.0699709,0.86308
0.0737657,0.855132
0.0776611,0.846966
0.0816569,0.838584
0.0857527,0.829992
0.0899482,0.821195
0.0942428,0.812197
0.0986363,0.803003
0.103128,0.79362
0.107717,0.784054
0.112404,0.774311
0.117186,0.764396
0.122065,0.754316
0.127038,0.744078
0.132105,0.733687
0.137265,0.723151
0.142517,0.712475
0.147861,0.701666
0.153294,0.69073
0.158816,0.679672
0.164426,0.6685
0.170122,0.657219
0.175903,0.645835
0.181768,0.634355
0.187715,0.622782
0.193743,0.611125
0.19985,0.599387
0.206035,0.587575
0.212297,0.575694
0.218633,0.56375
0.225042,0.551748
0.231523,0.539694
0.238073,0.527593
0.244692,0.51545
0.251377,0.503271
0.258126,0.49106
0.264938,0.478822
0.271811,0.466564
0.278743,0.454289
0.285732,0.442003
0.292776,0.429711
0.299873,0.417417
0.307021,0.405125
0.314217,0.392841
0.321459,0.380568
0.328746,0.368312
0.336074,0.356077
0.34344,0.343866
0.350843,0.331684
0.3583,0.31949
0.365771,0.307324
0.373196,0.29527
0.380603,0.283278
0.388015,0.271321
0.395443,0.25941
0.402904,0.247564
0.410408,0.235806
0.417961,0.224151
0.425565,0.212611
0.433218,0.201191
0.440921,0.189896
0.44867,0.17873
0.456463,0.167694
0.464297,0.156792
0.472168,0.146024
0.480072,0.135394
0.488004,0.124903
0.495962,0.114553
0.503939,0.104346
0.511931,0.0942845
0.519931,0.0843707
0.527936,0.074607
0.535938,0.0649961
0.543931,0.0555407
0.551909,0.0462435
0.559865,0.0371077
0.567792,0.0281363
0.575682,0.0193327
0.583513,0.0107151
0.590714,0.00288689
0.591473,0.00206798
0.593394,0.0
0.00251132,1.0
0.00306873,0.998981
0.00372745,0.997769
0.00448749,0.996369
0.00534885,0.994777
0.00631155,0.992994
0.00737562,0.991017
0.00854109,0.988845
0.00980799,0.986476
0.0111764,0.983907
0.0126463,0.981137
0.0142178,0.978164
0.0158911,0.974984
0.0176661,0.971597
0.0195429,0.967999
0.0215217,0.964188
0.0236025,0.960161
0.0257855,0.955917
0.0280707,0.951452
0.0304582,0.946765
0.0329482,0.941854
0.0355408,0.936716
0.0382359,0.931351
0.0410337,0.925756
0.0439343,0.919932
0.0469376,0.913876
0.0500438,0.90759
0.0532527,0.901072
0.0565645,0.894325
0.0599789,0.887347
0.063496,0.880142
0.0671156,0.872711
0.0708375,0.865057
0.0746616,0.857182
0.0785876,0.849091
0.0826153,0.840786
0.0867443,0.832273
0.0909742,0.823555
0.0953046,0.814638
0.099735,0.805528
0.104265,0.796229
0.108894,0.786748
0.113621,0.77709
0.118445,0.767262
0.123367,0.757269
0.128384,0.747119
0.133496,0.736816
0.138702,0.726367
0.144002,0.715779
0.149393,0.705058
0.154875,0.694209
0.160447,0.683239
0.166108,0.672154
0.171855,0.66096
0.177689,0.649662
0.183607,0.638267
0.189608,0.626779
0.195691,0.615205
0.201853,0.603551
0.208095,0.591821
0.214413,0.580022
0.220807,0.568158
0.227275,0.556235
0.233815,0.544259
0.240425,0.532235
0.247104,0.520167
0.25385,0.508062
0.260662,0.495923
0.267536,0.483757
0.274473,0.471568
0.281469,0.459362
0.288522,0.447142
0.295632,0.434914
0.302795,0.422682
0.31001,0.410451
0.317274,0.398226
0.324586,0.386011
0.331942,0.37381
0.339341,0.361628
0.346779,0.349469
0.354254,0.337336
0.36178,0.325199
0.369311,0.313104
0.376798,0.301117
0.384267,0.289197
0.391743,0.277302
0.399224,0.265437
0.406722,0.253588
0.414236,0.241779
0.421781,0.230031
0.429366,0.218372
0.436996,0.206821
0.44467,0.19539
0.452388,0.184085
0.460149,0.172912
0.46795,0.161874
0.475786,0.150974
0.483656,0.140214
0.491554,0.129596
0.499477,0.119124
0.507419,0.108797
0.515375,0.0986204
0.523341,0.0885946
0.53131,0.0787226
0.539278,0.0690069
0.547237,0.0594502
0.555181,0.0500552
0.563103,0.040825
0.570996,0.0317627
0.578853,0.0228715
0.586653,0.0141696
0.593825,0.00627218
0.594591,0.00543768
0.596509,0.00335968
0.599618,0.0
0.0036213,1.00001
0.00428356,0.998807
0.00504772,0.997418
0.00591379,0.99584
0.0068818,0.994071
0.0079518,0.992111
0.00912383,0.989958
0.010398,0.987609
0.0117743,0.985063
0.0132528,0.982317
0.0148337,0.97937
0.0165171,0.976219
0.0183029,0.972863
0.0201915,0.969298
0.0221829,0.965522
0.0242772,0.961533
0.0264746,0.957329
0.0287753,0.952907
0.0311793,0.948266
0.0336868,0.943403
0.0362979,0.938317
0.0390128,0.933005
0.0418315,0.927468
0.0447543,0.921703
0.0477811,0.915711
0.050912,0.90949
0.0541471,0.903041
0.0574863,0.896365
0.0609297,0.889462
0.0644771,0.882335
0.0681286,0.874984
0.0718839,0.867412
0.0757429,0.859623
0.0797053,0.851619
0.0837709,0.843404
0.0879393,0.834982
0.0922102,0.826358
0.096583,0.817537
0.101057,0.808524
0.105633,0.799323
0.110308,0.789941
0.115084,0.780384
0.119958,0.770657
0.12493,0.760766
0.13,0.750718
0.135165,0.740518
0.140427,0.730173
0.145782,0.719688
0.15123,0.709069
0.156771,0.698324
0.162402,0.687457
0.168123,0.676474
0.173932,0.665381
0.179828,0.654185
0.185809,0.64289
0.191874,0.631502
0.198022,0.620028
0.204251,0.608471
0.210559,0.596839
0.216945,0.585136
0.223408,0.573367
0.229945,0.561538
0.236555,0.549654
0.243236,0.537721
0.249988,0.525743
0.256807,0.513725
